id,houseLink,pictureurl,area,road,size,totlefloor,floor,year,room,hall,bath,totalprice,unitprice
13885Q,https://www.sinyi.com.tw/buy/house/13885Q/?breadcrumb=list,https://res.sinyi.com.tw/buy/13885Q/smallimg/A.JPG,大安區,復興南路一段,45.63,12,5,45.3,4,2,1,4550,99.72
52381X,https://www.sinyi.com.tw/buy/house/52381X/?breadcrumb=list,https://res.sinyi.com.tw/buy/52381X/smallimg/A.JPG,大安區,樂利路,36.89,7,3,34.8,3,2,2,3680,99.76
66973G,https://www.sinyi.com.tw/buy/house/66973G/?breadcrumb=list,https://res.sinyi.com.tw/buy/66973G/smallimg/A.JPG,內湖區,星雲街,24.43,16,8,25.3,2,2,1,2188,89.56
20455Z,https://www.sinyi.com.tw/buy/house/20455Z/?breadcrumb=list,https://res.sinyi.com.tw/buy/20455Z/smallimg/A.JPG,大同區,哈密街,56.47,12,7,22.1,3,2,2,3230,57.2
15147R,https://www.sinyi.com.tw/buy/house/15147R/?breadcrumb=list,https://res.sinyi.com.tw/buy/15147R/smallimg/A.JPG,南港區,研究院路二段,33.14,7,2,12.0,1,2,1,2150,64.88
53334Z,https://www.sinyi.com.tw/buy/house/53334Z/?breadcrumb=list,https://res.sinyi.com.tw/buy/53334Z/smallimg/A.JPG,內湖區,民權東路六段,69.21,7,4,18.2,4,2,2,5380,77.73
11522V,https://www.sinyi.com.tw/buy/house/11522V/?breadcrumb=list,https://res.sinyi.com.tw/buy/11522V/smallimg/A.JPG,中山區,民權西路,19.58,14,9,8.3,1,1,1,1860,94.99
37027U,https://www.sinyi.com.tw/buy/house/37027U/?breadcrumb=list,https://res.sinyi.com.tw/buy/37027U/smallimg/A.JPG,文山區,政大三街,81.52,5,4,11.7,3,2,2,3850,47.23
27714R,https://www.sinyi.com.tw/buy/house/27714R/?breadcrumb=list,https://res.sinyi.com.tw/buy/27714R/smallimg/A.JPG,松山區,民生東路五段,11.41,20,10,31.7,1,1,1,1060,92.9
79376L,https://www.sinyi.com.tw/buy/house/79376L/?breadcrumb=list,https://res.sinyi.com.tw/buy/79376L/smallimg/A.JPG,內湖區,行善路,36.88,14,8,2.7,2,2,1,2650,71.85
34942H,https://www.sinyi.com.tw/buy/house/34942H/?breadcrumb=list,https://res.sinyi.com.tw/buy/34942H/smallimg/A.JPG,信義區,信義路五段,37.97,19,9,11.7,2,1,1,4480,117.99
91990G,https://www.sinyi.com.tw/buy/house/91990G/?breadcrumb=list,https://res.sinyi.com.tw/buy/91990G/smallimg/A.JPG,大同區,承德路二段,10.79,12,10,24.0,1,1,1,928,86.01
77371H,https://www.sinyi.com.tw/buy/house/77371H/?breadcrumb=list,https://res.sinyi.com.tw/buy/77371H/smallimg/A.JPG,內湖區,康寧路三段,33.81,10,6,26.2,3,2,1,2280,67.44
70963C,https://www.sinyi.com.tw/buy/house/70963C/?breadcrumb=list,https://res.sinyi.com.tw/buy/70963C/smallimg/A.JPG,大安區,安東街,15.91,11,7,39.2,2,1,1,1550,97.42
89109E,https://www.sinyi.com.tw/buy/house/89109E/?breadcrumb=list,https://res.sinyi.com.tw/buy/89109E/smallimg/A.JPG,內湖區,新明路,80.1,5,2,31.6,3,1,1,3200,39.95
53243V,https://www.sinyi.com.tw/buy/house/53243V/?breadcrumb=list,https://res.sinyi.com.tw/buy/53243V/smallimg/A.JPG,中山區,建國北路二段,14.4,15,2,32.8,1,2,1,1280,88.89
79266L,https://www.sinyi.com.tw/buy/house/79266L/?breadcrumb=list,https://res.sinyi.com.tw/buy/79266L/smallimg/A.JPG,中山區,林森北路,27.22,6,4,36.4,2,2,2,1888,69.36
30773W,https://www.sinyi.com.tw/buy/house/30773W/?breadcrumb=list,https://res.sinyi.com.tw/buy/30773W/smallimg/A.JPG,中正區,南昌路一段,63.26,18,8,11.0,3,2,2,6688,105.72
35512L,https://www.sinyi.com.tw/buy/house/35512L/?breadcrumb=list,https://res.sinyi.com.tw/buy/35512L/smallimg/A.JPG,士林區,天母西路,124.43,7,3,7.5,4,2,4,13750,110.5
56920H,https://www.sinyi.com.tw/buy/house/56920H/?breadcrumb=list,https://res.sinyi.com.tw/buy/56920H/smallimg/A.JPG,南港區,經貿二路,35.54,13,2,8.1,2,1,1,2798,78.73
52984V,https://www.sinyi.com.tw/buy/house/52984V/?breadcrumb=list,https://res.sinyi.com.tw/buy/52984V/smallimg/A.JPG,大安區,信義路四段,15.11,12,3,24.7,1,1,1,1640,108.54
38148B,https://www.sinyi.com.tw/buy/house/38148B/?breadcrumb=list,https://res.sinyi.com.tw/buy/38148B/smallimg/A.JPG,中山區,新生北路一段,43.86,14,2,32.8,4,2,2,3200,72.96
40396J,https://www.sinyi.com.tw/buy/house/40396J/?breadcrumb=list,https://res.sinyi.com.tw/buy/40396J/smallimg/A.JPG,文山區,興德路,24.33,4,4,42.6,3,2,1,1500,61.65
